Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803519,BROOKDALE FOUNTAINGROVE,EMERITUS CORPORATION,"BECKER, SUE",(707) 566-8600,300 FOUNTAINGROVE PARKWAY,SANTA ROSA,CA,95403,SONOMA,21,158,LICENSED,7/31/14,,12/29/16,0,7,4,11
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608720,BROOKDALE NORTHRIDGE,EMERITUS CORPORATION,CYNDIE PACHOREK,(818) 886-1616,17650 WEST DEVONSHIRE STREET,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,LICENSED,7/31/14,,10/13/16,0,3,5,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426512,BROOKDALE RANCHO MIRAGE,S-H OPCO RANCHO MIRAGE LLC/BKD TWENTY ONE MGMT INC,"RONAN, SHARYL",(760) 340-5999,77201 COUNTRY CLUB DR.,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,135,LICENSED,8/29/14,,10/31/16,0,7,4,11
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,157203395,BROOKDALE RIVERWALK,"BLC GLENWOOD-GARDENS AL-LH, LLC",JEFFREY TOOMER,(661) 587-0221,350 CALLOWAY DRIVE,BAKERSFIELD,CA,93312,KERN,24,376,LICENSED,6/26/06,,12/22/16,1,18,23,42
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,198601907,BROOKDALE SAN DIMAS,EMERITUS CORPORATION,KARA KNEEDY-CAYEM,(909) 394-0304,1740 SAN DIMAS AVENUE,SAN DIMAS,CA,91773,LOS ANGELES,28,131,LICENSED,7/31/14,,9/29/16,0,3,3,6
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004721,BROOKDALE SAN JUAN CAPISTRANO,S-H OPCO SAN JUAN CAP. LLC-BKD TWENTY-ONE MGT. INC,TERRI DEBOEVER,(949) 248-8855,31741 RANCHO VIEJO ROAD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,125,LICENSED,8/29/14,,11/10/16,1,19,9,29
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004693,BROOKDALE YORBA LINDA,EMERITUS CORPORATION,RANDALL FULLER,(714) 777-9666,17803 IMPERIAL HIGHWAY,YORBA LINDA,CA,92886,ORANGE,22,135,LICENSED,7/31/14,,7/29/15,0,4,7,11
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270708224,CANTERBURY WOODS,EPISCOPAL SENIOR COMMUNITIES,NORMA BRAMBILLA,(831) 373-3111,651 SINEX AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,190,LICENSED,9/15/89,,6/27/14,2,0,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191603774,"CANTERBURY, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,SHARON PEWTRESS,(310) 541-2410,5801 WEST CRESTRIDGE ROAD,RANCHO PALOS VERDES,CA,90274,LOS ANGELES,28,187,LICENSED,3/31/93,,5/26/16,1,2,3,6
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004555,CAPRIANA,"CAPRIANA OPER., OAKMONT SR LVG., OAKMONT MGT GRP.",SAMUEL M. FAYE,(714) 589-2866,460 LA FLORESTA DRIVE,BREA,CA,92821,ORANGE,22,200,LICENSED,5/14/13,,12/13/16,1,1,21,23
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15601222,CARDINAL POINT AT MARINER SQUARE,"CARDINAL PT MARINER SQ,OAKMONT SR LIV,OAKMONT MGT",JOAN RIORDAN,(510) 337-1033,2431 MARINER SQUARE DRIVE,ALAMEDA,CA,94501,ALAMEDA,15,153,LICENSED,2/28/06,,8/26/16,2,0,1,3
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,385600359,"CARLISLE, THE","SUNRISE CARLISLE GP, LLC AS GP OF SC, LP; SSL MGMT",TRICIA PALERMO,(415) 929-0200,1450 POST STREET,SAN FRANCISCO,CA,94109,SAN FRANCISCO,14,130,LICENSED,8/1/06,,8/15/16,1,2,4,7
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600799,CARLSBAD BY THE SEA,FRONT PORCH COMMUNITIES AND SERVICES,JOAN E. JOHNSON,(760) 729-2377,2855 CARLSBAD BLVD.,CARLSBAD,CA,92008,SAN DIEGO,8,224,LICENSED,8/4/99,,2/8/14,1,1,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700110,CARMEL VALLEY MANOR,NORTHERN CALIFORNIA CONGREGATIONAL RETIREMENT HOME,JANE S. IPSEN,(831) 624-1281,8545 CARMEL VALLEY ROAD,CARMEL,CA,93923,MONTEREY,26,258,LICENSED,11/12/93,,4/17/15,2,0,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,405800142,CASA DE FLORES,"COMPASS HEALTH, INC., DBA",DARREN SMITH,(805) 772-7372,1405 TERESA DRIVE,MORRO BAY,CA,93442,SAN LUIS OBISPO,29,120,LICENSED,2/24/97,,9/24/15,1,2,0,3
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600488,CASA DE LAS CAMPANAS,"CASA DE LAS CAMPANAS/LIFE CARE SERVICE, LLC",KIMBERLY FINCH-DOMINY,(858) 451-9152,18655 WEST BERNARDO DRIVE,SAN DIEGO,CA,92127,SAN DIEGO,8,582,LICENSED,1/1/97,,9/23/16,1,5,8,14
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,421700160,CASA DORINDA,MONTECITO RETIREMENT ASSOCIATION,BRIAN MCCAGUE,(805) 969-8011,300 HOT SPRINGS RD.,SANTA BARBARA,CA,93108,SANTA BARBARA,29,325,LICENSED,10/31/93,,11/13/15,1,0,9,10
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700136,CHANNING HOUSE,CHANNING HOUSE,"MATSUMOTO, MELVIN",(650) 327-0950,850 WEBSTER STREET,PALO ALTO,CA,94301,SANTA CLARA,26,264,LICENSED,3/20/93,,3/28/16,1,1,4,6
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197802724,CLAREMONT MANOR,FRONT PORCH,NANCY HARRISON,(909) 626-1227,650 W. HARRISON AVE.,CLAREMONT,CA,91711,LOS ANGELES,28,360,CLOSED,6/30/99,7/11/13,2/7/13,1,1,2,4
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,45001619,COUNTRY CREST,LAKE OROVILLE COUNTRY RETIRE./LIFE CARE SERVICES,"RODRIQUES, ERIC",(530) 533-7857,55 CONCORDIA LANE,OROVILLE,CA,95966,BUTTE,25,120,CLOSED,6/22/04,6/14/12,6/11/12,0,0,1,1
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,500301453,COVENANT VILLAGE OF TURLOCK,COVENANT RETIREMENT COMMUNITIES WEST,MELINA NUNEZ,(209) 632-9976,2125 N OLIVE,TURLOCK,CA,95382,STANISLAUS,27,377,LICENSED,6/19/89,,11/29/16,3,2,3,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306002255,"COVINGTON, THE",EPISCOPAL COMMUNITIES & SERVICES FOR SENIORS,KRISTA NAY,(949) 362-9662,3 PURSUIT,ALISO VIEJO,CA,92656,ORANGE,22,340,LICENSED,5/20/04,,10/11/16,2,2,3,7
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801946,EMERITUS AT CAMARILLO,EMERITUS CORPORATION,VINCENT GONZAGA,(805) 388-8086,6000 SANTA ROSA ROAD,CAMARILLO,CA,91320,VENTURA,29,140,CLOSED,7/31/14,8/29/14,6/13/14,0,0,1,1
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,565801761,EMERITUS AT CAMARILLO,EMERITUS CORPORATION,VINCENT GONZAGA,(805) 388-8086,6000 SANTA ROSA ROAD,CAMARILLO,CA,91320,VENTURA,29,140,CLOSED,7/6/11,7/31/14,2/13/14,0,6,6,12
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374602800,EMERITUS AT CARLSBAD,EMERITUS CORPORATION,SASHA HIGHTOWER,(760) 720-9898,3140 EL CAMINO REAL,CARLSBAD,CA,92008,SAN DIEGO,8,125,CLOSED,1/16/09,7/31/14,6/16/14,1,4,0,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374602801,EMERITUS AT CARMEL VALLEY,EMERITUS CORPORATION,FRED JACKSON,(858) 259-2222,13101 HARTFIELD AVE,SAN DIEGO,CA,92130,SAN DIEGO,8,125,CLOSED,1/21/09,7/31/14,6/16/14,2,3,4,9
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608196,EMERITUS AT NORTHRIDGE,EMERITUS CORPORATION,ROCIO RUBIO BUSBY,(818) 886-1616,17650 WEST DEVONSHIRE STREET,NORTHRIDGE,CA,91325,LOS ANGELES,31,135,CLOSED,7/6/11,7/31/14,2/3/16,1,12,2,15
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336425269,EMERITUS AT RANCHO MIRAGE,EMERITUS CORPORATION,THERESA WARD,(760) 340-5999,72201 COUNTRY CLUB DRIVE,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,135,CLOSED,5/4/11,7/31/14,3/26/14,0,2,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607627,EMERITUS AT SAN DIMAS,EMERITUS CORPORATION,KARA KNEEDY-CAYEM,(909) 394-0304,1740 SAN DIMAS AVENUE,SAN DIMAS,CA,91773,LOS ANGELES,28,125,CLOSED,1/16/09,7/31/14,8/26/15,1,2,2,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004022,EMERITUS AT SAN JUAN CAPISTRANO,EMERITUS CORPORATION,ROBERT KOONTZ,(949) 248-8855,31741 RANCHO VIEJO ROAD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,125,CLOSED,1/14/09,8/4/14,12/2/13,1,4,3,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803330,EMERITUS AT SANTA ROSA,EMERITUS CORPORATION,"BECKER, SUE",(707) 566-8600,300 FOUNTAINGROVE PARKWAY,SANTA ROSA,CA,95403,SONOMA,21,158,CLOSED,7/29/11,7/31/14,11/18/14,0,10,4,14
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004316,EMERITUS AT YORBA LINDA,EMERITUS CORPORATION (MANAGER),RANDALL FULLER,(714) 777-9666,17803 IMPERIAL HIGHWAY,YORBA LINDA,CA,92886,ORANGE,22,135,CLOSED,7/13/11,8/4/14,9/24/13,1,5,3,9
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,340313383,ESKATON VILLAGE,"ESKATON / ESKATON PROPERTIES, INC.",GREGORY KLICK,(916) 974-2000,3939 WALNUT AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,27,500,LICENSED,3/23/92,,11/29/16,3,12,16,31
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,270700245,FOREST HILL,CALIFORNIA-NEVADA METHODIST HOMES,LESLIE CURTIS,(831) 657-5200,551 GIBSON AVENUE,PACIFIC GROVE,CA,93950,MONTEREY,26,150,LICENSED,1/29/74,,3/14/14,3,0,2,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200344,"FORUM AT RANCHO SAN ANTONIO, THE","RSARHC, RSARS INC. & LIFE CARE SERVICES LLC",NANCY KAO,(650) 944-0112,23500 CRISTO REY DRIVE,CUPERTINO,CA,95014,SANTA CLARA,26,741,LICENSED,9/24/96,,3/30/16,1,1,4,6
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496803440,FOUNTAINGROVE LODGE,FOUNTAINGROVE LODGE LLC/OAKMONT MGT LLC/OSL LLC,"MAY, ROBERT",(707) 576-1101,4210 THOMAS LAKE HARRIS DRIVE,SANTA ROSA,CA,95403,SONOMA,21,173,LICENSED,11/22/13,,9/21/16,0,3,6,9
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336410693,"FOUNTAINS AT THE CARLOTTA, THE",FOUNTAINS GEN.PTNR/SR.LVNG HLDGS LLC/WATERMARK RET,VICTORIA DOMINGO,(760) 346-5420,41-505 CARLOTTA DRIVE,PALM DESERT,CA,92211,RIVERSIDE,18,250,CLOSED,12/8/06,6/1/15,1/20/15,1,0,1,2
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,336426769,"FOUNTAINS AT THE CARLOTTA, THE",WATERMARK CARLOTTA LLC/WATERMARK RETIRE. COMM. INC,JORGE MARTINEZ,(760) 346-5420,41505 CARLOTTA DR.,PALM DESERT,CA,92211,RIVERSIDE,18,250,LICENSED,6/1/15,,5/10/16,0,2,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607880,FOUNTAINVIEW AT EISENBERG VILLAGE,"FOUNTAINVIEW AT EISENBERG VLG,LLC.& EVLAJHA,INC.","HERNANDEZ,AMBER",(818) 774-3000,6440 WILBUR AVENUE,RESEDA,CA,91335,LOS ANGELES,31,216,LICENSED,2/23/10,,7/15/16,2,4,1,7
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300606831,FREEDOM VILLAGE,"MURPHY,N.,SHEAM,G.,KUBICKA,C.,KUBICKA,L.,FPW,LLC",MARIANNE CASINO/ J.NIBLETT,(949) 472-4733,23442 EL TORO ROAD,LAKE FOREST,CA,92630,ORANGE,22,533,LICENSED,7/23/87,,2/17/16,3,3,3,9
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,496801929,FRIENDS HOUSE,"FRIENDS ASSO OF SVC FOR ELDERLY/RETIREMENT SVC,LLC","TRISEL, DARREN L.",(707) 538-0152,684 BENICIA DRIVE,SANTA ROSA,CA,95409,SONOMA,21,120,LICENSED,12/27/06,,2/12/16,2,1,2,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603600,"GLEN AT SCRIPPS RANCH CCRC, THE","GLEN AT SCRIPPS RANCH CCRC LLC, THE",WARREN SPIEKER III,(760) 704-6300,POMERADO RD,SAN DIEGO,CA,92131,SAN DIEGO,8,600,PENDING,,,,0,0,0,0
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400246,GRAND LAKE GARDENS,ABHOW & CLPC,JOAN BOSWORTH,(510) 893-8897,401 SANTA CLARA AVENUE,OAKLAND,CA,94610,ALAMEDA,15,135,LICENSED,1/25/85,,8/25/16,2,4,2,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,380500295,HERITAGE ON THE MARINA,SAN FRANCISCO LADIES' PROTECTION & RELIEF SOCIETY,MARLA LONG HASTINGS,(415) 202-0300,3400 LAGUNA ST.,SAN FRANCISCO,CA,94123,SAN FRANCISCO,14,104,LICENSED,6/25/75,,3/26/14,1,0,1,2
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191800001,HOLLENBECK PALMS,HOLLENBECK PALMS,"HEIDEMAN, WILLIAM G.",(323) 263-6195,573 S. BOYLE AVE,LOS ANGELES,CA,90033,LOS ANGELES,28,171,LICENSED,4/16/93,,9/27/16,1,2,0,3
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360902944,"INLAND CHRISTIAN HOME, INC","INLAND CHRISTIAN HOME, INC",MARY WOLFF,(909) 983-0084,1950 SOUTH MOUNTAIN AVENUE,ONTARIO,CA,91762,SAN BERNARDINO,18,297,LICENSED,2/20/94,,3/22/16,1,1,3,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374600637,LA COSTA GLEN CARLSBAD,LA COSTA GLEN CARLSBAD CCRC LLC/LIFE CARE SVCS LLC,DAVID ARMOUR,(760) 704-1000,1950 SILVERLEAF CIRCLE,CARLSBAD,CA,92009,SAN DIEGO,8,1233,LICENSED,2/11/03,,8/10/16,1,6,8,15
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400369,LAKE PARK,CALIFORNIA - NEVADA METHODIST HOMES,MINDY HAN,(510) 835-5511,1850 ALICE,OAKLAND,CA,94612,ALAMEDA,15,275,LICENSED,6/28/93,,12/4/15,1,15,2,18
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435200941,LINCOLN GLEN ASSISTED LIVING CENTER,"LINCOLN GLEN MANOR FOR SENIOR CITIZENS, INC.",BARBARA FEILLER,(408) 267-4872,2671 PLUMMER AVENUE,SAN JOSE,CA,95125,SANTA CLARA,26,73,LICENSED,10/13/01,,11/8/16,1,2,8,11
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,430700382,LOS GATOS MEADOWS,EPISCOPAL SENIOR COMMUNITIES,CHRISTOPHER ICHIEN,(408) 354-0211,110 WOOD ROAD,LOS GATOS,CA,95030,SANTA CLARA,26,229,LICENSED,6/10/93,,7/12/16,1,0,4,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191501682,MARGUERITE GARDENS,CALIFORNIA P.E.O HOME CORPORATION,KRISTIS FERRIS,(626) 300-0400,700 NORTH STONEMAN AVENUE,ALHAMBRA,CA,91801,LOS ANGELES,28,113,CLOSED,2/14/83,6/18/15,6/12/15,1,2,1,4
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11440129,MASONIC HOME FOR ADULTS,MASONIC HOMES OF CALIFORNIA,FRANCO DIAMOND,(510) 471-3434,34400 MISSION BLVD.,UNION CITY,CA,94587,ALAMEDA,15,242,LICENSED,2/3/93,,4/10/15,1,1,1,3
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191592287,MASONIC HOMES FOR ADULTS,MASONIC HOMES OF CALIFORNIA,JUDY FIGUEROA,(626) 251-2200,1650 EAST OLD BADILLO ST,COVINA,CA,91724,LOS ANGELES,28,112,LICENSED,5/1/89,,9/3/14,1,0,2,3
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374603081,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MEADOWBROOK VILLAGE CHRISTIAN RETIREMENT COMMUNITY,MARK MEMMELAAR,(760) 746-2500,100 HOLLAND GLEN,ESCONDIDO,CA,92026,SAN DIEGO,8,200,LICENSED,11/18/10,,8/9/16,1,3,4,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286803132,"MEADOWS OF NAPA VALLEY-THE VILLAS, THE",ODD FELLOWS HOME OF CALIF. DBA THE MEADOWS OF NAPA,"SCHRAMM, MARY",(707) 257-7885,2000 ATRIUM PARKWAY,NAPA,CA,94559,NAPA,21,70,CLOSED,6/26/09,6/25/13,3/1/13,1,0,0,1
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,286801070,"MEADOWS OF NAPA VALLEY, THE",ODD FELLOWS HOME OF CA/PRS MGMT & CONSULT. LLC(MC),"PANCHESSON, WAYNE",(707) 257-7885,1800 ATRIUM PARKWAY,NAPA,CA,94559,NAPA,21,350,LICENSED,7/31/02,,12/20/16,3,3,4,10
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,15600255,MERCY RETIREMENT & CARE CENTER,MERCY RET & CARE CTR AND ELDER CARE ALLIANCE,TAMRA SCHMUTZLER,(510) 534-8540,3431 FOOTHILL BOULEVARD,OAKLAND,CA,94601,ALAMEDA,15,160,LICENSED,3/11/99,,10/28/16,2,2,0,4
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,435294340,MOLDAW FAMILY RESIDENCES AT 899 CHARLESTON,899 CHARLESTON/JEWISH SENIOR LIVING GROUP,KEVIN HOGAN,(650) 433-3600,899 EAST CHARLESTON ROAD,PALO ALTO,CA,94303,SANTA CLARA,26,270,LICENSED,10/22/09,,10/20/15,1,3,3,7
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191222411,MONTE VISTA GROVE HOMES,MONTE VISTA GROVE HOMES,DEBORAH A HERBERT,(626) 796-6135,2889 SAN PASQUAL STREET,PASADENA,CA,91107,LOS ANGELES,28,16,LICENSED,12/2/92,,12/30/14,2,0,0,2
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197608908,MONTECEDRO,"MONTECEDRO, INC.",DAVID WEIDERT,(626) 396-7125,2212 EL MOLINO,ALTADENA,CA,91001,LOS ANGELES,31,300,LICENSED,12/16/15,,11/17/15,0,0,1,1
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,300613273,MORNINGSIDE OF FULLERTON,"CORECARE III/MORNINGSIDE S.P.ASSOC/LIFECARESVS,LLC",GARY STORK,(714) 256-8000,800 MORNINGSIDE DR.,FULLERTON,CA,92835,ORANGE,22,712,LICENSED,11/9/93,,3/17/16,1,0,4,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,370800394,MOUNT MIGUEL COVENANT VILLAGE,COVENANT RETIREMENT COMMUNITIES WEST,RICHARD MILLER,(619) 479-4790,325 KEMPTON STREET,SPRING VALLEY,CA,91977,SAN DIEGO,8,434,LICENSED,4/9/93,,6/11/15,1,3,6,10
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,191500496,MOUNT SAN ANTONIO GARDENS,"CONGREGATIONAL HOMES, INCORPORATED","MEDAK, RIKI",(909) 624-5061,900 EAST HARRISON AVENUE,POMONA,CA,91767,LOS ANGELES,28,520,LICENSED,1/4/93,,12/23/16,1,2,5,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,390314809,O'CONNOR WOODS ASSISTED LIVING,O'CONNOR WOODS HOUSING CORP.,PENNY LEAL-MALLETE,(209) 956-3400,3334 WAGNER HEIGHTS ROAD,STOCKTON,CA,95209,SAN JOAQUIN,27,499,LICENSED,8/14/91,,11/18/16,2,5,10,17
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,100404809,PALM VILLAGE RETIREMENT COMMUNITY,"MENNONITE BRETHREN HOMES, INC.","SCHARBACH, BILL",(559) 638-6933,703 WEST HERBERT AVENUE,REEDLEY,CA,93654,FRESNO,24,260,LICENSED,2/13/87,,3/2/16,1,0,7,8
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,486800368,PARADISE VALLEY ESTATES,NORTHERN CALIFORNIA RETIRED OFFICERS COMMUNITY,JAMES G.MERTZ,(707) 432-1100,2600 ESTATES DRIVE,FAIRFIELD,CA,94533,SOLANO,21,603,LICENSED,12/3/97,,11/8/16,2,3,1,6
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,374601395,PARADISE VALLEY MANOR,"STERLING CARE, INC.",PETER SANFORD,(619) 470-6700,2575 E. EIGHTH STREET,NATIONAL CITY,CA,91950,SAN DIEGO,8,50,LICENSED,5/27/03,,1/20/16,1,5,1,7
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,410508359,PENINSULA REGENT (THE),"BAY AREA SENIOR SERVICES, INC.",MARIANNE NANNESTAD,(650) 579-5500,1 BALDWIN AVENUE,SAN MATEO,CA,94401,SAN MATEO,14,435,LICENSED,12/15/88,,11/10/15,1,0,3,4
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,11400514,PIEDMONT GARDENS #1,ABHOW & CLPC,"SMITH, KEVIN",(510) 654-7172,110-41ST STREET,OAKLAND,CA,94611,ALAMEDA,15,321,LICENSED,3/25/93,,11/3/16,2,13,4,19
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,197607628,PILGRIM PLACE IN CLAREMONT,"PILGRIM PLACE IN CLAREMONT, INC.",RICH RODAS,(909) 399-5500,625 MAYFLOWER ROAD,CLAREMONT,CA,91711,LOS ANGELES,28,454,LICENSED,1/16/09,,9/7/16,2,1,2,5
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,360904812,PLYMOUTH VILLAGE OF REDLANDS,ABHOW & CLPC,"KASIN, KEITH",(909) 793-1233,900 SALEM DRIVE,REDLANDS,CA,92373,SAN BERNARDINO,18,301,LICENSED,2/24/81,,7/17/14,1,0,1,2
RCFE-CONTINUING CARE RETIREMENT COMMUNITY,306004626,QUAKER GARDENS,CALIFORNIA FRIENDS HOMES,TERRY MARTINEZ,(714) 530-9100,12151 DALE STREET,STANTON,CA,90680,ORANGE,22,280,CLOSED,,8/8/13,,0,0,0,0
