SRA,Region,Zipcode,ZCTA,NumRCFELicensed,NumRCFEBedsLicensed,NumRCFEPending,NumRCFEBedsPending,NumRCFEInALWP,2012Pop65Over,2012Pop55Over,2030Pop65Over,2030Pop55Over,2012PopADOD55Over,2030PopADOD55Over,2012PopLowIncome55Over,2012PopLowIncome65Over,2012PopMinority,2012ADODPerRCFE,2030ADODPerRCFE,2012PercentLowIncome65Over,2012PercentLowIncome55Over,2012LowIncome65OverPerRCFE,2012LowIncome55OverADODRatio,PopMinorityPerRCFE,PopMinorityADODRatio,2012MedianHHIncome,2012MedianHHIncome65Over
Kearny Mesa,North Central,92108,92108,4,227.0,0,0.0,0,0,0,0,0,0,0,605,278,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62313,42115
Kearny Mesa,North Central, 92110, 92110,3,179.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kearny Mesa,North Central, 92111, 92111,8,45.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kearny Mesa,North Central, 92117, 92117,13,419.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kearny Mesa,North Central, 92123, 92123,8,45.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Kearny Mesa,North Central,00000,00000,36,915.0,0,0.0,2,19635,36144,44478,65501,3369,6003,605,278,62632,93.58,166.75,1.42,1.67,7.72,0.18,1739.78,18.59,62313,42115
National City,South ,91950,91950,10,391.0,2,95.0,0,0,0,0,0,0,0,5239,2905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055,28788
National City,South ,00000,00000,10,391.0,2,95.0,0,5924,11325,9993,16328,2188,3093,5239,2905,50835,218.8,309.3,49.04,46.26,290.5,2.39,5083.5,23.23,39055,28788
Mid City,Central,92105,92105,1,40.0,0,0.0,1,0,0,0,0,0,0,5068,2276,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35776,26265
Mid City,Central, 92115, 92115,7,373.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mid City,Central, 92116, 92116,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mid City,Central,00000,00000,8,413.0,0,0.0,1,0,0,0,0,0,0,5068,2276,0,0.0,0.0,999.0,999.0,284.5,999.0,0.0,999.0,35776,26265
Miramar,North Central,92145,92145,0,0.0,0,0.0,0,0,0,0,0,0,0,32,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224423,250000
Miramar,North Central,00000,00000,0,0.0,0,0.0,0,4,13,0,2,<5,0,32,16,1724,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,224423,250000
Palomar-Julian,North Inland,92060,92060,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74408,250000
Palomar-Julian,North Inland, 92066, 92066,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Palomar-Julian,North Inland, 92070, 92070,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Palomar-Julian,North Inland, 92086, 92086,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Palomar-Julian,North Inland, 92536, 92536,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Palomar-Julian,North Inland,00000,00000,0,0.0,0,0.0,0,1641,2961,3055,4244,54,69,0,0,1957,999.0,999.0,0.0,0.0,999.0,0.0,999.0,36.24,74408,250000
Poway,North Inland,92064,92064,29,308.0,7,51.0,0,0,0,0,0,0,0,1967,1239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94317,56398
Poway,North Inland, 92131, 92131,1,6.0,1,600.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Poway,North Inland,00000,00000,30,314.0,8,651.0,0,11796,24075,20510,33655,1420,1994,1967,1239,26332,47.33,66.47,10.5,8.17,41.3,1.39,877.73,18.54,94317,56398
Central San Diego,Central,92101,92101,2,230.0,1,30.0,1,0,0,0,0,0,0,3600,1970,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53644,23423
Central San Diego,Central, 92102, 92102,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92103, 92103,2,300.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92104, 92104,1,9.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92134, 92134,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central, 92136, 92113,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Central San Diego,Central,00000,00000,5,539.0,1,30.0,1,16488,33540,41996,68917,3193,6424,3600,1970,79193,638.6,1284.8,11.95,10.73,394.0,1.13,15838.6,24.8,53644,23423
South Bay,South ,91932,91932,1,32.0,0,0.0,0,0,0,0,0,0,0,1635,940,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46975,30857
South Bay,South , 92154, 92154,5,30.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
South Bay,South , 92173, 92173,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
South Bay,South ,00000,00000,6,62.0,0,0.0,0,13336,26499,29368,51486,2022,3996,1635,940,112914,337.0,666.0,7.05,6.17,156.67,0.81,18819.0,55.84,46975,30857
Oceanside,North Coastal,92054,92054,5,30.0,3,76.0,0,0,0,0,0,0,0,1973,936,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50686,51250
Oceanside,North Coastal, 92056, 92056,6,668.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oceanside,North Coastal, 92057, 92057,17,102.0,2,171.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oceanside,North Coastal, 92058, 92058,2,12.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Oceanside,North Coastal,00000,00000,30,812.0,5,247.0,6,18989,36354,35342,54179,2532,3920,1973,936,81428,84.4,130.67,4.93,5.43,31.2,0.78,2714.27,32.16,50686,51250
Del Mar-Mira Mesa,North Central,92014,92014,1,6.0,0,0.0,0,0,0,0,0,0,0,313,196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119393,78717
Del Mar-Mira Mesa,North Central, 92126, 92126,31,181.0,2,12.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Del Mar-Mira Mesa,North Central, 92130, 92130,2,131.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Del Mar-Mira Mesa,North Central,00000,00000,34,318.0,2,12.0,0,15392,35156,35375,63429,1654,3084,313,196,77735,48.65,90.71,1.27,0.89,5.76,0.19,2286.32,47.0,119393,78717
Harbison Crest/El Cajon,East,92019,92019,13,375.0,1,6.0,0,0,0,0,0,0,0,2352,1461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72942,46641
Harbison Crest/El Cajon,East, 92020, 92020,12,228.0,2,12.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Harbison Crest/El Cajon,East, 92021, 92021,10,161.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Harbison Crest/El Cajon,East,00000,00000,35,764.0,3,18.0,0,0,0,0,0,0,0,2352,1461,0,0.0,0.0,999.0,999.0,41.74,999.0,0.0,999.0,72942,46641
Peninsula,North Central,92106,92106,3,29.0,0,0.0,0,0,0,0,0,0,0,811,479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80460,69437
Peninsula,North Central, 92107, 92107,1,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Peninsula,North Central, 92140, 92140,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Peninsula,North Central, 92147, 92147,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Peninsula,North Central,00000,00000,4,35.0,0,0.0,0,7362,14328,14638,21563,905,1353,811,479,13527,226.25,338.25,6.51,5.66,119.75,0.9,3381.75,14.95,80460,69437
El Cajon,East,92019,92019,13,375.0,1,6.0,0,0,0,0,0,0,0,2352,1461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72942,46641
El Cajon,East, 92020, 92020,12,228.0,2,12.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
El Cajon,East,00000,00000,25,603.0,3,18.0,0,15593,29763,28185,43667,3702,5322,2352,1461,46618,148.08,212.88,9.37,7.9,58.44,0.64,1864.72,12.59,72942,46641
Escondido,North Inland,92025,92025,20,745.0,3,162.0,1,0,0,0,0,0,0,2846,1435,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43351,36441
Escondido,North Inland, 92026, 92026,23,1099.0,0,0.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland, 92027, 92027,33,401.0,4,24.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland, 92029, 92029,7,249.0,4,24.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland, 92096, 92078,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Escondido,North Inland,00000,00000,83,2494.0,11,210.0,14,18188,35705,30180,49288,3769,5205,2846,1435,91707,45.41,62.71,7.89,7.97,17.29,0.76,1104.9,24.33,43351,36441
Alpine,East,91901,91901,3,56.0,0,0.0,0,0,0,0,0,0,0,861,465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76496,65994
Alpine,East,00000,00000,3,56.0,0,0.0,0,2404,4678,4994,7620,339,555,861,465,3316,113.0,185.0,19.34,18.41,155.0,2.54,1105.33,9.78,76496,65994
North San Diego,North Inland,92091,92091,0,0.0,0,0.0,0,0,0,0,0,0,0,94,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107273,108875
North San Diego,North Inland, 92127, 92127,6,662.0,2,84.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
North San Diego,North Inland, 92128, 92128,3,330.0,2,12.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
North San Diego,North Inland, 92129, 92129,6,264.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
North San Diego,North Inland,00000,00000,15,1256.0,5,102.0,0,14128,27382,26388,42128,2180,3376,94,94,41771,145.33,225.07,0.67,0.34,6.27,0.04,2784.73,19.16,107273,108875
San Dieguito,North Coastal,92007,92007,1,175.0,0,0.0,0,0,0,0,0,0,0,470,264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92734,59500
San Dieguito,North Coastal, 92024, 92024,11,482.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Dieguito,North Coastal, 92067, 92067,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Dieguito,North Coastal, 92075, 92075,2,136.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Dieguito,North Coastal,00000,00000,14,793.0,1,6.0,0,14596,29078,25115,41195,1518,2207,470,264,18988,108.43,157.64,1.81,1.62,18.86,0.31,1356.29,12.51,92734,59500
Lemon Grove,East,91945,91945,5,353.0,1,219.0,0,0,0,0,0,0,0,1809,921,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50092,39730
Lemon Grove,East,00000,00000,5,353.0,1,219.0,0,3530,7041,5808,9810,1094,1517,1809,921,19670,218.8,303.4,26.09,25.69,184.2,1.65,3934.0,17.98,50092,39730
University,North Central,92121,92121,0,0.0,0,0.0,0,0,0,0,0,0,0,86,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96413,52625
University,North Central, 92122, 92122,13,855.0,1,6.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
University,North Central, 92161, 92161,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
University,North Central,00000,00000,13,855.0,1,6.0,4,6446,10846,12832,18902,606,1064,86,58,31065,46.62,81.85,0.9,0.79,4.46,0.14,2389.62,51.26,96413,52625
Southeastern San Diego,Central,92113,92113,1,6.0,0,0.0,0,0,0,0,0,0,0,3768,2175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27500,21765
Southeastern San Diego,Central, 92114, 92114,24,152.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Southeastern San Diego,Central, 92139, 92139,15,89.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Southeastern San Diego,Central,00000,00000,40,247.0,1,6.0,1,0,0,0,0,0,0,3768,2175,137874,0.0,0.0,999.0,999.0,54.38,999.0,3446.85,999.0,27500,21765
Coronado,South ,92118,92118,1,120.0,0,0.0,0,0,0,0,0,0,0,519,260,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89277,79959
Coronado,South , 92135, 92135,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coronado,South , 92155, 92155,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coronado,South ,00000,00000,1,120.0,0,0.0,0,3540,5982,6394,8587,401,568,519,260,5540,401.0,568.0,7.34,8.68,260.0,1.29,5540.0,13.82,89277,79959
Elliot-Navajo,North Central,92119,92119,13,75.0,0,0.0,0,0,0,0,0,0,0,1496,957,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69747,47725
Elliot-Navajo,North Central, 92120, 92120,10,66.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Elliot-Navajo,North Central, 92124, 92124,3,18.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Elliot-Navajo,North Central,00000,00000,26,159.0,0,0.0,1,0,0,0,0,0,0,1496,957,0,0.0,0.0,999.0,999.0,36.81,999.0,0.0,999.0,69747,47725
Pauma,North Inland,92059,92059,0,0.0,0,0.0,0,0,0,0,0,0,0,72,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89333,51250
Pauma,North Inland, 92061, 92061,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pauma,North Inland,00000,00000,0,0.0,0,0.0,0,840,1771,1513,2454,48,66,72,39,4790,999.0,999.0,4.64,4.07,999.0,1.5,999.0,99.79,89333,51250
Ramona,North Inland,92065,92065,3,39.0,0,0.0,0,0,0,0,0,0,0,1740,806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76293,51121
Ramona,North Inland,00000,00000,3,39.0,0,0.0,0,4304,9472,8432,14018,793,1074,1740,806,10020,264.33,358.0,18.73,18.37,268.67,2.19,3340.0,12.64,76293,51121
Jamul,East,91917,91917,0,0.0,0,0.0,0,0,0,0,0,0,0,57,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63566,79107
Jamul,East, 91935, 91935,1,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Jamul,East, 91978, 91978,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Jamul,East,00000,00000,1,6.0,0,0.0,0,2148,4777,6050,10292,212,533,57,57,8182,212.0,533.0,2.65,1.19,57.0,0.27,8182.0,38.59,63566,79107
Anza-Borrego Springs,North Inland,92004,92004,1,6.0,0,0.0,0,0,0,0,0,0,0,532,447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40561,26123
Anza-Borrego Springs,North Inland, 92036, 92036,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Anza-Borrego Springs,North Inland, 92259, 92259,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Anza-Borrego Springs,North Inland,00000,00000,1,6.0,0,0.0,0,1554,2385,2247,3044,88,113,532,447,2414,88.0,113.0,28.76,22.31,447.0,6.05,2414.0,27.43,40561,26123
Lakeside,East,92040,92040,8,80.0,1,15.0,1,0,0,0,0,0,0,2065,1354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64561,36551
Lakeside,East,00000,00000,8,80.0,1,15.0,1,6774,14076,13648,21285,1044,1673,2065,1354,14115,130.5,209.13,19.99,14.67,169.25,1.98,1764.38,13.52,64561,36551
Sweetwater,South ,91902,91902,9,54.0,1,6.0,0,0,0,0,0,0,0,971,528,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86099,70509
Sweetwater,South , 91913, 91913,1,300.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sweetwater,South , 91914, 91914,3,192.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sweetwater,South , 91915, 91915,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Sweetwater,South ,00000,00000,13,546.0,2,12.0,0,12461,26231,31002,55381,827,1815,971,528,103418,63.62,139.62,4.24,3.7,40.62,1.17,7955.23,125.05,86099,70509
La Mesa,East,91941,91941,6,86.0,0,0.0,0,0,0,0,0,0,0,1493,865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69715,51897
La Mesa,East, 91942, 91942,13,736.0,2,231.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
La Mesa,East,00000,00000,19,822.0,2,231.0,0,9043,16239,16534,23968,2282,3396,1493,865,20705,120.11,178.74,9.57,9.19,45.53,0.65,1089.74,9.07,69715,51897
Fallbrook,North Inland,92003,92003,3,13.0,0,0.0,0,0,0,0,0,0,0,179,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78662,75000
Fallbrook,North Inland, 92028, 92028,13,298.0,1,16.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fallbrook,North Inland, 92088, 92088,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fallbrook,North Inland, 92592, 92592,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Fallbrook,North Inland,00000,00000,16,311.0,1,16.0,0,8759,15238,14607,21169,717,1049,179,73,20511,44.81,65.56,0.83,1.17,4.56,0.25,1281.94,28.61,78662,75000
Coastal,North Central,92037,92037,14,641.0,1,52.0,0,0,0,0,0,0,0,1525,989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97483,85457
Coastal,North Central, 92093, 92109,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coastal,North Central,00000,00000,14,641.0,1,52.0,0,12661,20508,24356,34457,1068,1834,1525,989,13120,76.29,131.0,7.81,7.44,70.64,1.43,937.14,12.28,97483,85457
San Marcos,North Inland,92069,92069,14,98.0,0,0.0,0,0,0,0,0,0,0,2440,1399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50471,36273
San Marcos,North Inland, 92078, 92078,8,614.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
San Marcos,North Inland,00000,00000,22,712.0,0,0.0,1,12137,21239,21801,32029,1207,1894,2440,1399,43799,54.86,86.09,11.53,11.49,63.59,2.02,1990.86,36.29,50471,36273
Chula Vista,South ,91910,91910,13,861.0,1,6.0,1,0,0,0,0,0,0,4236,2610,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55875,40155
Chula Vista,South , 91911, 91911,10,113.0,2,12.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Chula Vista,South ,00000,00000,23,974.0,3,18.0,1,14692,26362,23252,36011,2912,4131,4236,2610,92340,126.61,179.61,17.76,16.07,113.48,1.45,4014.78,31.71,55875,40155
Mountain Empire,East,91905,91905,0,0.0,0,0.0,0,0,0,0,0,0,0,127,59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000,15556
Mountain Empire,East, 91906, 91906,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91934, 91934,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91962, 91962,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91963, 91963,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East, 91980, 91980,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Mountain Empire,East,00000,00000,0,0.0,0,0.0,0,1367,2574,2358,3525,128,190,127,59,4100,999.0,999.0,4.32,4.93,999.0,0.99,999.0,32.03,70000,15556
